Venue,Instrument Name,Link to a website or other source where further information on costs is available,"Total value of all rebates, discounts, or other payments offered (as % of total
traded value during the reporting period)","Total value of all costs (as a % of total traded value during the reporting period
volume)"
Avatrade,BTG/USD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,BCH/USD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,LTC/USD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,BTC/JPY Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,BTC/EUR Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,ETH/USD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,BTC/USD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,COCOA Commodity CFD 100,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,SILVER Commodity CFD 10000,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,COPPER Commodity CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,GOOGLE,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,USSugar Commodity CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,SOYBEAN Commodity CFD 100,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,AMAZON,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,MASTERCARD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,NATURAL_GAS Commodity CFD 10000,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,HEATING_OIL Commodity CFD 100000,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,GASOLINE Commodity CFD 100000,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,USCoffee Commodity CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,CORN Commodity CFD 100,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,COTTON2 Commodity CFD 1000,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,PLATINUM Commodity CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,APPLE,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,TESLA,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,NETFLIX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,TWITTER,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,ALIBABA,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,VISA,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,SNAPCHAT,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,WHEAT Commodity CFD 100,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,Palladium. Commodity CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,WTI Crude Commodity CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,BRENT_OIL Commodity CFD 1000,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,BARCLAYS,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,GOLD Commodity CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,RIO TINTO.UK,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,US Dollar Index Equity Index CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,USD/HUF Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,FACEBOOK,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,TOTAL,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,BAYER,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,NAS100 Equity Index CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,CISCO SYSTEMS,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,INTEL,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,MICROSOFT,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,TEVA,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,AMERICAN EXPRESS,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,AT&T,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,BERKSHIRE HATHAWAY.B,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,BANK OF AMERICA,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,BOEING,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,CATERPILLAR,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,CHEVRON,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,CITIGROUP,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,COCA COLA,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,WALT DISNEY,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,EXXON MOBIL,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,GENERAL ELECTRIC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,GM,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,GOLDMAN SACHS GROUP,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,JOHNSON & JOHNSON,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,JP MORGAN CHASE,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,MCDONALDS,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,PFIZER,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,PROCTER & GAMBLE,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,WAL MART,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,DEUTSCHE BANK,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,SAP.DE,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,DAIMLER.DE,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,MSCI Emerging Markets Index Fund,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,PEUGEOT.FR,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,CARREFOUR.FR,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,S&P 500 VIX Short-Term Futures ETN,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,MSCI Brazil Index Fund,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,Energy Select Sector SPDR,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,Market Vectors TR Gold Miners,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,BMW.DE,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,CREDIT AGRICOLE,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,EUROBUND CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,MSCI Taiwan Index Equity Index CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,GROUPON,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,HSBC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,SIEMENS,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,Amsterdam Exchange Index Equity Index CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,XRP/USD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,USD/CLP Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,E.ON,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,RWE.DE,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,VALLOUREC.FR,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,UNICREDITO,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,EUR/ZAR Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,GBP/ILS Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,Russell 200 Equity Index CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,OMX Stockholm 30 Equity Index CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,USD/ZAR Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,EUR/ILS Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,USD/MXN Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,VODAFONE,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,DEUTSCHE TELEKOM.DE,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,CAD/JPY Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,SPX500 Equity Index CFD 10,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,USD/ILS Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,GBP/HUF Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,DJ Euro Stoxx 50 Equity Index CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,GBP/USD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,USD/NOK Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,USD/PLN Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,EUR/TRY Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,CAC 40 French  Equity Index CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,INTESA SANPAOLO,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,EUR/NOK Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,EUR/HUF Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,USD/TRY Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,Australian 200  Equity Index CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,GBP/SEK Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,EUR/PLN Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,USD/SEK Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,EUR/SEK Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,EUR/DKK Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,USD/DKK Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,Swiss Market Index Equity Index CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,Ibex Spanish 30  Equity Index CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,USD/CNY Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,Nifty Fifty Inida Index Future CFD ,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,Deutsche 30   Equity Index CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,FTSE China A50 Index Equity Index CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,JAPAN GOVT BOND CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,GBP/CAD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,JPN225 Equity Index CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,EUR/NZD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,CAD/CHF Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,Han Seng Index Equity Index CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,US30 Equity Index CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,TELECOM ITALIA,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,AUD/NZD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,GBP/AUD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,NZD/CHF Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,GBP/NZD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,NZD/CAD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,AUD/CAD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,USD/SGD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,AUD/CHF Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,EUR/CAD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,GBP/CHF Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,NZD/JPY Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,EUR/AUD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,EUR/USD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,CHF/HUF Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,AUD/JPY Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,CHF/JPY Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,EUR/CHF Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,GBP/JPY Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,NZD/USD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,EUR/GBP Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,AUD/USD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,EUR/JPY Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,USD/CHF Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,USD/CAD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,UK100 Equity Index CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,GBP/SGD Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,TESCO.UK,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,USD/JPY Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,FTSE MIB  Equity Index CFD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,EUR/RUB Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,USD/RUB Rolling Spot FX,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,GENERALI ASSICURAZIONI,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,SAIPEM.IT,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,SCHWAB (CHARLES) CORP,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,SCHLUMBERGER LTD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,MICRON TECHNOLOGY INC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,BOSTON SCIENTIFIC CORP,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,BANK OF NEW YORK MELLON CORP,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,COMCAST CORP-CLASS A,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,BRISTOL-MYERS SQUIBB CO,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,WELLS FARGO & CO,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,ALTRIA GROUP INC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,OCCIDENTAL PETROLEUM CORP,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,EXELON CORP,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,US BANCORP,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,CVS HEALTH CORP,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,TJX COMPANIES INC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,MONDELEZ INTERNATIONAL INC-A,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,WALGREENS BOOTS ALLIANCE INC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,SOUTHERN CO/THE,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,ORACLE CORP,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,CONOCOPHILLIPS,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,GILEAD SCIENCES INC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,ABBVIE INC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,COLGATE-PALMOLIVE CO,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,QUALCOMM INC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,CSX CORP,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,DOMINION ENERGY INC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,T-MOBILE US INC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,PHILIP MORRIS INTERNATIONAL,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,PROLOGIS INC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,MERCK & CO. INC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,ABBOTT LABORATORIES,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,EOG RESOURCES INC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,DUKE ENERGY CORP,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,INTERCONTINENTAL EXCHANGE IN,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,CELGENE CORP,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,UNITED PARCEL SERVICE-CL B,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,MARSH & MCLENNAN COS,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,LOWE'S COS INC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,ELI LILLY & CO,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,BAIDU INC - SPON ADR,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,ZOETIS INC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,TEXAS INSTRUMENTS INC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,WASTE MANAGEMENT INC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,PAYPAL HOLDINGS INC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,PEPSICO INC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,CROWN CASTLE INTL CORP,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,HCA HEALTHCARE INC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,MARRIOTT INTERNATIONAL -CL A,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,IBM,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,PNC FINANCIAL SERVICES GROUP,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,DANAHER CORP,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,ILLINOIS TOOL WORKS,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,CHUBB LTD,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,SALESFORCE.COM INC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,CIGNA CORP,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,NVIDIA CORP,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,FEDEX CORP,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,DEERE & CO,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,SIMON PROPERTY GROUP INC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,AUTOMATIC DATA PROCESSING,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,ALLERGAN PLC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,3M CO,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,UNION PACIFIC CORP,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,RAYTHEON COMPANY,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,HONEYWELL INTERNATIONAL INC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,VERTEX PHARMACEUTICALS INC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,AMGEN INC,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,GENERAL DYNAMICS CORP,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,ESTEE LAUDER COMPANIES-CL A,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,ASML HOLDING NV-NY REG SHS,https://www.avatrade.com/trading-info/trading-conditions,,
Avatrade,ACCENTURE PLC-CL A,https://www.avatrade.com/trading-info/trading-conditions,,
